Timestamp,User,Location,Door Number,Reason
Fri Mar 10 2023 23:13:48 GMT+1100 (Australian Eastern Daylight Time),'Security Guard15 Security Guard15','Door 18 Level 2 Pedestrian Doo',18,No access.
Fri Mar 10 2023 23:14:32 GMT+1100 (Australian Eastern Daylight Time),'Security Guard15 Security Guard15','Door 20 L1 Double Glass Door A',20,No access.
Fri Mar 10 2023 23:14:54 GMT+1100 (Australian Eastern Daylight Time),'Security Guard15 Security Guard15','Door 26 Lvl 1 Staff Entry',26,No access.
Sat Mar 11 2023 01:08:53 GMT+1100 (Australian Eastern Daylight Time),'Security Guard15 Security Guard15','Door 18 Level 2 Pedestrian Doo',18,No access.
Sat Mar 11 2023 01:09:30 GMT+1100 (Australian Eastern Daylight Time),'Security Guard15 Security Guard15','Door 20 L1 Double Glass Door A',20,No access.
Sat Mar 11 2023 01:09:50 GMT+1100 (Australian Eastern Daylight Time),'Security Guard15 Security Guard15','Door 26 Lvl 1 Staff Entry',26,No access.
Sat Mar 11 2023 01:12:14 GMT+1100 (Australian Eastern Daylight Time),'Security Guard15 Security Guard15','Door 27 Lvl 2 Courtyard Behind',27,No access.
Sat Mar 11 2023 04:08:01 GMT+1100 (Australian Eastern Daylight Time),'Security Guard15 Security Guard15','Door 18 Level 2 Pedestrian Doo',18,No access.
Sat Mar 11 2023 04:09:29 GMT+1100 (Australian Eastern Daylight Time),'Security Guard15 Security Guard15','Door 20 L1 Double Glass Door A',20,No access.
Sat Mar 11 2023 04:09:52 GMT+1100 (Australian Eastern Daylight Time),'Security Guard15 Security Guard15','Door 26 Lvl 1 Staff Entry',26,No access.
Sat Mar 11 2023 20:05:45 GMT+1100 (Australian Eastern Daylight Time),'Security Guard15 Security Guard15','Door 18 Level 2 Pedestrian Doo',18,No access.
Sat Mar 11 2023 20:06:23 GMT+1100 (Australian Eastern Daylight Time),'Security Guard15 Security Guard15','Door 20 L1 Double Glass Door A',20,No access.
Sat Mar 11 2023 20:06:44 GMT+1100 (Australian Eastern Daylight Time),'Security Guard15 Security Guard15','Door 26 Lvl 1 Staff Entry',26,No access.
Sat Mar 11 2023 22:12:00 GMT+1100 (Australian Eastern Daylight Time),'Security Guard15 Security Guard15','Door 18 Level 2 Pedestrian Doo',18,No access.
Sat Mar 11 2023 22:12:42 GMT+1100 (Australian Eastern Daylight Time),'Security Guard15 Security Guard15','Door 20 L1 Double Glass Door A',20,No access.
Sat Mar 11 2023 22:13:04 GMT+1100 (Australian Eastern Daylight Time),'Security Guard15 Security Guard15','Door 26 Lvl 1 Staff Entry',26,No access.
Sun Mar 12 2023 00:07:01 GMT+1100 (Australian Eastern Daylight Time),'Security Guard15 Security Guard15','Door 18 Level 2 Pedestrian Doo',18,No access.
Sun Mar 12 2023 00:07:44 GMT+1100 (Australian Eastern Daylight Time),'Security Guard15 Security Guard15','Door 20 L1 Double Glass Door A',20,No access.
Sun Mar 12 2023 00:08:07 GMT+1100 (Australian Eastern Daylight Time),'Security Guard15 Security Guard15','Door 26 Lvl 1 Staff Entry',26,No access.
Sun Mar 12 2023 01:04:06 GMT+1100 (Australian Eastern Daylight Time),'Security Guard15 Security Guard15','Door 18 Level 2 Pedestrian Doo',18,No access.
Sun Mar 12 2023 01:04:46 GMT+1100 (Australian Eastern Daylight Time),'Security Guard15 Security Guard15','Door 20 L1 Double Glass Door A',20,No access.
Sun Mar 12 2023 01:05:09 GMT+1100 (Australian Eastern Daylight Time),'Security Guard15 Security Guard15','Door 26 Lvl 1 Staff Entry',26,No access.
Sun Mar 12 2023 02:02:00 GMT+1100 (Australian Eastern Daylight Time),'Security Guard15 Security Guard15','Door 18 Level 2 Pedestrian Doo',18,No access.
Sun Mar 12 2023 02:02:35 GMT+1100 (Australian Eastern Daylight Time),'Security Guard15 Security Guard15','Door 20 L1 Double Glass Door A',20,No access.
Sun Mar 12 2023 02:02:55 GMT+1100 (Australian Eastern Daylight Time),'Security Guard15 Security Guard15','Door 26 Lvl 1 Staff Entry',26,No access.
Sun Mar 12 2023 02:04:49 GMT+1100 (Australian Eastern Daylight Time),'Security Guard15 Security Guard15','Door 27 Lvl 2 Courtyard Behind',27,No access.
Sun Mar 12 2023 03:21:25 GMT+1100 (Australian Eastern Daylight Time),'Security Guard15 Security Guard15','Door 18 Level 2 Pedestrian Doo',18,No access.
Sun Mar 12 2023 03:22:11 GMT+1100 (Australian Eastern Daylight Time),'Security Guard15 Security Guard15','Door 20 L1 Double Glass Door A',20,No access.
Sun Mar 12 2023 03:22:36 GMT+1100 (Australian Eastern Daylight Time),'Security Guard15 Security Guard15','Door 26 Lvl 1 Staff Entry',26,No access.
Sun Mar 12 2023 20:07:22 GMT+1100 (Australian Eastern Daylight Time),'Security Guard15 Security Guard15','Door 18 Level 2 Pedestrian Doo',18,No access.
Sun Mar 12 2023 20:08:01 GMT+1100 (Australian Eastern Daylight Time),'Security Guard15 Security Guard15','Door 20 L1 Double Glass Door A',20,No access.
Sun Mar 12 2023 20:08:22 GMT+1100 (Australian Eastern Daylight Time),'Security Guard15 Security Guard15','Door 26 Lvl 1 Staff Entry',26,No access.
Sun Mar 12 2023 20:10:09 GMT+1100 (Australian Eastern Daylight Time),'Security Guard15 Security Guard15','Door 27 Lvl 2 Courtyard Behind',27,No access.
Mon Mar 13 2023 00:18:02 GMT+1100 (Australian Eastern Daylight Time),'Security Guard15 Security Guard15','Door 18 Level 2 Pedestrian Doo',18,No access.
Mon Mar 13 2023 00:18:41 GMT+1100 (Australian Eastern Daylight Time),'Security Guard15 Security Guard15','Door 20 L1 Double Glass Door A',20,No access.
Mon Mar 13 2023 00:19:03 GMT+1100 (Australian Eastern Daylight Time),'Security Guard15 Security Guard15','Door 26 Lvl 1 Staff Entry',26,No access.
